P,Q,SNRm,CNRm,SNRmd,CNRmd,JI,FPR,A% Error
0,0,4.084134665201153,3.0344240932610638,4.064115050894347,2.600277854542429,0.925601750547046,0.007837626854020298,-0.27500000000000213
0,1,3.6814587150884246,2.9341723973691276,3.6626345691147097,2.5831061911342634,0.8925146198830409,0.01795472287275566,0.5775000000000006
0,2,3.5787712302787114,2.903521977248635,3.559518136252317,2.574798678187018,0.8754166187794507,0.022669789227166278,0.9200000000000017
0,3,3.5687587713079427,2.895983120965115,3.544809187224214,2.569025782796883,0.8694907513130852,0.024449648711943793,1.057500000000001
1,0,3.598777538621967,2.9041604380345323,3.5806050222624846,2.5733011689624465,0.879447322970639,0.02217017954722873,0.932500000000001
1,1,2.753755680519694,2.6993071997272975,2.727403835114832,2.518209785973905,0.8508899585805441,0.029914129586260736,1.4600000000000009
1,2,2.5158870871420214,2.6190931317772908,2.4879555751629114,2.4725021978120476,0.8487723214285714,0.030757220921155348,1.5375000000000014
1,3,2.4691406029000293,2.600729151151592,2.4442439700841154,2.4649683594902876,0.8533273482212995,0.029227166276346604,1.4124999999999979
2,0,2.9564453189238193,2.7050116107122935,2.9160257473492295,2.4917410816438985,0.8684812442817932,0.02401249024199844,0.9700000000000024
2,1,2.1686248370288226,2.4761455942695507,2.127160193812304,2.3815180953875412,0.8647791619479048,0.026697892271662763,1.2899999999999991
2,2,1.8753020607389939,2.3860701102195296,1.8283967912512917,2.314755134047487,0.857753769975242,0.028446526151444183,1.3949999999999996
2,3,1.8049962524170289,2.364551377088757,1.7633548643983807,2.2996026461107397,0.8581081081081081,0.028259172521467604,1.375
3,0,2.5794402435139396,2.560720470992317,2.5105369907274815,2.4104951211087684,0.8932255039849977,0.017392661982825918,0.5075000000000003
3,1,1.84155450386531,2.3419649733043943,1.7775509237576197,2.2790972759224157,0.8882016571361886,0.0185480093676815,0.5749999999999993
3,2,1.5895136040746418,2.2575661238180222,1.527117081074128,2.213439051602182,0.8837047353760445,0.02001561280249805,0.6999999999999993
3,3,1.5259638546891077,2.23226976036589,1.4574586118198085,2.1925306237187985,0.8793023793023793,0.021327088212334113,0.8024999999999984
