p,q,R,JI
2,2,7,0.863708579210168
2,2,8,0.864582148948266
2,2,9,0.8649386084583902
2,2,10,0.8525324966382788
2,2,11,0.8606046880308006
2,2,12,0.8530959578994514
2,2,13,0.861248872858431
2,2,14,0.859286842699165
2,2,15,0.8582224227385518
2,2,16,0.8535574229691877
2,2,17,0.8682743715163235
2,2,18,0.8562753036437247
2,2,19,0.8585256049521666
2,2,20,0.8636518191091466
2,2,21,0.8613188307273963
2,2,22,0.859382047812359
2,2,23,0.854800673778776
2,2,24,0.8598913535536442
2,2,25,0.8540121375590021
2,2,26,0.8592491777248498
2,2,27,0.8569171744527194
2,2,28,0.8636879110909503
2,2,29,0.8613682546850305
2,2,30,0.8671750512178465
2,2,31,0.8570947084597236
2,2,32,0.8467364669191356
2,2,33,0.8617573977863112
2,2,34,0.8654281830539193
2,2,35,0.8608224130140081
2,2,36,0.8615158703264431
2,2,37,0.8574819168173599
2,2,38,0.8601517381949949
2,2,39,0.8595227375056281
2,2,40,0.8603837471783295
2,2,41,0.8562113546936481
2,2,42,0.8613279040832486
2,2,43,0.8633985441310282
2,2,44,0.8677309007981756
2,2,45,0.8549635445877735
2,2,46,0.8624123104774836
2,2,47,0.8627185561195714
2,2,48,0.8603440470801268
2,2,49,0.7728990662516674
2,2,50,0.7723342939481268
2,3,1,0.8598913535536442
2,3,2,0.8609256535023198
2,3,3,0.8604466613762612
2,3,4,0.8651162790697674
2,3,5,0.855825461088619
2,3,6,0.8600362072867165
2,3,7,0.8626916524701874
2,3,8,0.8588248613155214
2,3,9,0.8612087538269645
2,3,10,0.858527787171683
2,3,11,0.8544516707782014
2,3,12,0.8596768726697548
2,3,13,0.8594509095017512
2,3,14,0.854396222172251
2,3,15,0.8563211909326717
2,3,16,0.8569175304191077
2,3,17,0.8562753036437247
2,3,18,0.8520802960636985
2,3,19,0.8601106469459184
2,3,20,0.8613469156762875
2,3,21,0.8635848629050532
2,3,22,0.8565153733528551
2,3,23,0.8625506985128436
2,3,24,0.8579814856626778
2,3,25,0.8587189012720927
2,3,26,0.8582872616495544
2,3,27,0.8597898542537566
2,3,28,0.8611581442600745
2,3,29,0.8608352144469525
2,3,30,0.8638945694160418
2,3,31,0.8617803415903178
2,3,32,0.8583671628326568
2,3,33,0.855079006772009
2,3,34,0.8548658659782242
2,3,35,0.8580288678394227
2,3,36,0.8569503705367169
2,3,37,0.8597815069264557
2,3,38,0.8618934509670851
2,3,39,0.8577066185590259
2,3,40,0.8552483704203192
2,3,41,0.8578834666967204
2,3,42,0.8580608793686584
2,3,43,0.8622292776958839
2,3,44,0.8631578947368421
2,3,45,0.8600225225225225
2,3,46,0.8563056463428378
2,3,47,0.8577066185590259
2,3,48,0.8616744080661607
2,3,49,0.7584557187360925
2,3,50,0.7620270119432972
3,0,1,0.8984209285882631
3,0,2,0.8989493566284972
3,0,3,0.8980936690986114
3,0,4,0.8969875959834613
3,0,5,0.8960442665410878
3,0,6,0.8973004694835681
3,0,7,0.8917525773195877
3,0,8,0.9004851496864277
3,0,9,0.8979351032448377
3,0,10,0.88944782405241
3,0,11,0.8980959097320169
3,0,12,0.8933395982614825
3,0,13,0.8974358974358975
3,0,14,0.8995509335854408
3,0,15,0.8994215558965883
3,0,16,0.89987026772025
3,0,17,0.8992183799147323
3,0,18,0.9042022792022792
3,0,19,0.8978171091445428
3,0,20,0.8972966591901782
3,0,21,0.8983390269760867
3,0,22,0.9009445100354191
3,0,23,0.9026559165283377
3,0,24,0.9044404973357016
3,0,25,0.8956031036915119
3,0,26,0.8957597173144877
3,0,27,0.9017730496453901
3,0,28,0.8933270676691729
3,0,29,0.8968609865470852
3,0,30,0.8942917547568711
3,0,31,0.8963895095848524
3,0,32,0.8916891337475091
3,0,33,0.8992431409649952
3,0,34,0.8995519924546098
3,0,35,0.8992576882290562
3,0,36,0.9003314393939394
3,0,37,0.8990814884597268
3,0,38,0.8995983935742972
3,0,39,0.9010041346721795
3,0,40,0.8982092365692743
3,0,41,0.8979543851399012
3,0,42,0.9002832192589096
3,0,43,0.8975114989975232
3,0,44,0.8945882352941177
3,0,45,0.8929617051176952
3,0,46,0.8981492396557822
3,0,47,0.9046434494195689
3,0,48,0.9058445423163909
3,0,49,0.8885882352941177
3,0,50,0.8832922390513092
3,1,1,0.8936468936468936
3,1,2,0.8898621817332399
3,1,3,0.9014568281416558
3,1,4,0.8945454545454545
3,1,5,0.896140682166883
3,1,6,0.8896921641791045
3,1,7,0.8929074682949741
3,1,8,0.8866931711880262
3,1,9,0.8888888888888888
3,1,10,0.891502808988764
3,1,11,0.8951574988246357
3,1,12,0.8907327334346149
3,1,13,0.8889018691588785
3,1,14,0.8938271604938272
3,1,15,0.8899929857376666
3,1,16,0.8920660963318879
3,1,17,0.8810490890100964
3,1,18,0.8908261174818629
3,1,19,0.8918255174833353
3,1,20,0.8918286115663779
3,1,21,0.8911771589047508
3,1,22,0.8871663364028441
3,1,23,0.891482871891131
3,1,24,0.8950457853956327
3,1,25,0.8894847283749125
3,1,26,0.8870141959506632
3,1,27,0.8851847534677701
3,1,28,0.8943165805542508
3,1,29,0.8875291375291375
3,1,30,0.887724202189611
3,1,31,0.8857242501743781
3,1,32,0.8926857811585722
3,1,33,0.8892257462686567
3,1,34,0.8916980244590781
3,1,35,0.8896406906206253
3,1,36,0.8912379610054029
3,1,37,0.8891215823152996
3,1,38,0.8893557422969187
3,1,39,0.8849918433931484
3,1,40,0.8951253808296227
3,1,41,0.8815529466465186
3,1,42,0.8912358501575446
3,1,43,0.8919709737827716
3,1,44,0.8959361052384308
3,1,45,0.8914238914238914
3,1,46,0.8909069603937192
3,1,47,0.8892769821865176
3,1,48,0.8917495611468695
3,1,49,0.8252046581344402
3,1,50,0.8246961706030727
3,2,1,0.8916001877053027
3,2,2,0.8836587633658763
3,2,3,0.8901510715540462
3,2,4,0.8912407905508127
3,2,5,0.8927400468384075
3,2,6,0.8918760958503799
3,2,7,0.892844636395471
3,2,8,0.8937067854213055
3,2,9,0.8857242501743781
3,2,10,0.8903580622513456
3,2,11,0.8913043478260869
3,2,12,0.8908025776215583
3,2,13,0.8909431312894922
3,2,14,0.8877372772796087
3,2,15,0.8882779597566682
3,2,16,0.8908005617977528
3,2,17,0.8929115407147041
3,2,18,0.8881740554450813
3,2,19,0.8946133082971482
3,2,20,0.8879049172687019
3,2,21,0.8869026755462087
3,2,22,0.8826051686174528
3,2,23,0.8873453187018445
3,2,24,0.8915916267103263
3,2,25,0.8872566165325871
3,2,26,0.886067101584343
3,2,27,0.8888888888888888
3,2,28,0.8848442422121106
3,2,29,0.8882773158449467
3,2,30,0.8894982497082847
3,2,31,0.8933552091878589
3,2,32,0.8901073261782548
3,2,33,0.8900291545189505
3,2,34,0.8925600468658466
3,2,35,0.8884215445729642
3,2,36,0.88056937854415
3,2,37,0.8923184847421958
3,2,38,0.8945078207691403
3,2,39,0.8911540714704159
3,2,40,0.8890058479532164
3,2,41,0.8867310152343296
3,2,42,0.8898986368402656
3,2,43,0.8874226322550508
3,2,44,0.891578947368421
3,2,45,0.8902524544179523
3,2,46,0.8868783562923185
3,2,47,0.8920281359906214
3,2,48,0.8939518496770406
3,2,49,0.7850136861313869
3,2,50,0.7912049861495845
3,3,1,0.8999529190207156
3,3,2,0.8864246527372476
3,3,3,0.886003726129483
3,3,4,0.8879149135109864
3,3,5,0.8842350203606748
3,3,6,0.8892898719441211
3,3,7,0.8872993719469644
3,3,8,0.888030888030888
3,3,9,0.8917368913857678
3,3,10,0.887215411558669
3,3,11,0.8885647607934656
3,3,12,0.8892131683399487
3,3,13,0.8914085330216248
3,3,14,0.8916608104942609
3,3,15,0.8879440885264998
3,3,16,0.8910068997778038
3,3,17,0.8884610897211527
3,3,18,0.886893656716418
3,3,19,0.885490836932415
3,3,20,0.8858701962150238
3,3,21,0.8902938765952465
3,3,22,0.8908092958075441
3,3,23,0.8878887070376432
3,3,24,0.8883834849545137
3,3,25,0.8846823829984903
3,3,26,0.8899415204678363
3,3,27,0.8905536696710757
3,3,28,0.8838212994284381
3,3,29,0.8873632767046776
3,3,30,0.8898889538281707
3,3,31,0.8941438798263115
3,3,32,0.8935098406747891
3,3,33,0.8886950453593859
3,3,34,0.8936845819122663
3,3,35,0.883288816629892
3,3,36,0.891578947368421
3,3,37,0.8906726037028357
3,3,38,0.8855942096661219
3,3,39,0.8864272388059702
3,3,40,0.8910428588111643
3,3,41,0.8891872956562354
3,3,42,0.8947121034077555
3,3,43,0.89466885861907
3,3,44,0.8898792072241116
3,3,45,0.8871287128712871
3,3,46,0.8848393106660456
3,3,47,0.8823324427924265
3,3,48,0.8887457547722216
3,3,49,0.7719579139981702
3,3,50,0.763377067883628
