P,Q,SNRm,CNRm,SNRmd,CNRmd,JI,FPR,A% Error
0,0,4.043038472866307,2.6155675976228174,4.025063569362754,2.493062024352949,0.7676537585421412,0.004555037871886306,-0.14500000000000002
0,1,3.640124456439912,2.5872859558204335,3.620072859235097,2.4770254221356627,0.7249050461204558,0.0068195424139097845,0.042500000000000426
0,2,3.53478777787388,2.569941791034001,3.513754298561065,2.468510829458224,0.6795811518324607,0.008563471199146256,0.11500000000000021
0,3,3.5232910514725213,2.5660215636629227,3.502153123157048,2.464637375657224,0.6766877637130801,0.00819906816939535,0.042500000000000426
1,0,3.555290635378888,2.5686554668092834,3.534350478424046,2.466280192772137,0.6740702479338843,0.009240219682969364,0.19750000000000068
1,1,2.713381594205013,2.4835890791079613,2.6877596980246814,2.4135614430789163,0.6467935871743486,0.010801946953330383,0.3125
1,2,2.4711257119971792,2.4405718804544794,2.4425141822867698,2.3792319280856478,0.6409876543209877,0.011556781800671543,0.40249999999999986
1,3,2.430275863884259,2.4320285285841075,2.4036245028123564,2.3742283687304964,0.6756756756756757,0.009890939378953122,0.3100000000000005
2,0,2.9143080488200996,2.458312620734397,2.8801782076305855,2.384898619610772,0.6978947368421052,0.008303183320752753,0.16000000000000014
2,1,2.120517724308907,2.333169370826701,2.0806422944872205,2.2899420745380064,0.656641604010025,0.010775918165491033,0.35749999999999993
2,2,1.8440279340399262,2.279051103141441,1.8051941089079966,2.243279092827337,0.6909187466808284,0.007860693927483797,0.055000000000000604
2,3,1.7734844179243148,2.2584148129671417,1.7257579091534332,2.2283999094866416,0.6858500527983105,0.00814701059371665,0.07750000000000057
3,0,2.540674495145334,2.3553942615324326,2.4787383485338323,2.30525703821578,0.7296559257236482,0.006507196959837581,0.012500000000000178
3,1,1.8073011129715109,2.229015737784948,1.7340040375887793,2.202943563666744,0.7194127243066885,0.006715427262552383,0.0
3,2,1.5582128780370965,2.1729383223533403,1.4884422689616046,2.150058831605171,0.7166577396893412,0.007444233322054192,0.10749999999999993
3,3,1.5004451908588408,2.1514949925784173,1.431436744251556,2.1330585906167387,0.7091503267973857,0.006637340899034332,-0.05999999999999961
