P,Q,SNRm,CNRm,SNRmd,CNRmd,JI,FPR,A% Error
0,0,4.085835204861971,3.0326538241173226,4.067208427026191,2.5967232021311144,0.9262204820751254,0.006182669789227166,0.9262204820751254
0,1,3.5598719056805908,2.791602265883377,3.5436376594774224,2.584357943029115,0.9061337174408834,0.01111631537861046,0.9061337174408834
0,2,3.469135464906987,2.768712000353653,3.452046129217485,2.5711585893538675,0.904744787922358,0.011584699453551913,0.904744787922358
0,3,3.4582504646157832,2.763608628195725,3.43688067613639,2.571806167904067,0.8972018022290728,0.014332552693208432,0.8972018022290728
1,0,3.4845664775229555,2.765244384707924,3.4643693243203812,2.567576158445719,0.8953516090584028,0.012958626073380173,0.8953516090584028
1,1,2.7004819654295438,2.6252474353316693,2.67728934999258,2.5059553869061837,0.8817583450869769,0.016643247462919595,0.8817583450869769
1,2,2.471607449557034,2.5620021118125686,2.447832084448349,2.463907832212045,0.8762138762138763,0.01786104605776737,0.8762138762138763
1,3,2.430338214587329,2.546823724702806,2.405445968330254,2.4533178186606914,0.8636205899363794,0.020921155347384857,0.8636205899363794
2,0,2.886084161147456,2.613675431065175,2.854485523320761,2.4829817785552093,0.891566265060241,0.01533177205308353,0.891566265060241
2,1,2.1317971205678945,2.4295145060561403,2.0940889613653875,2.360724011415546,0.8780228854547599,0.015675253708040595,0.8780228854547599
2,2,1.8533963815673737,2.363014893472266,1.8142631961319133,2.3063377194294534,0.8661112414926073,0.01708040593286495,0.8661112414926073
2,3,1.7916281013624484,2.337806735690833,1.7519029927393757,2.289554347426147,0.8594207996248094,0.01729898516783763,0.8594207996248094
3,0,2.5287752818342324,2.499326743814276,2.4670361342280893,2.406509841393997,0.9020970641102457,0.011553473848555816,0.9020970641102457
3,1,1.8279125513722854,2.3134631518963635,1.7624040638771965,2.2675286050792005,0.8860289716269604,0.01180327868852459,0.8860289716269604
3,2,1.574224042021625,2.2388705094634345,1.5086056067056166,2.2060095197076013,0.8780748663101604,0.013739266198282592,0.8780748663101604
3,3,1.512930749484153,2.2120042089249776,1.4517544131894806,2.1831252501435765,0.8733920914721296,0.013145979703356753,0.8733920914721296
