p,q,r,snr,cnr,k,eta,Ji
0,0,1,2.2560347849143616,0.6536666603308549,9,0.755600642264535,0.9241607449154619
0,0,2,2.2568716148222685,0.6533718317329099,9,0.7556401731920749,0.9243851706839594
0,1,1,2.0231332022990567,0.6072954617127347,8,0.7585034452167401,0.9084583083383323
0,1,2,2.023537671658232,0.6071687390687627,6,0.7631963422330934,0.910301416293427
0,2,1,1.9586776688871557,0.5925286617715753,8,0.7572339261878527,0.9038898862956314
0,2,2,1.9585321395141502,0.5925487007949112,9,0.7544838742307041,0.8960977345510616
0,3,1,1.9542142389538757,0.5920138868609232,7,0.7626995251406816,0.8976649988086729
0,3,2,1.9517362210135463,0.5906849898519871,7,0.7606472996569014,0.897793679189028
1,0,1,1.966442172754371,0.5932979361233487,7,0.7626702878558781,0.8915519696250593
1,0,2,1.964525804347331,0.5931680471545037,6,0.7661086045968333,0.8970028544243578
1,1,1,1.4953416353851219,0.49666762180444884,3,0.7766591960555224,0.8852767962308599
1,1,2,1.4943691487378368,0.4973289055788675,6,0.7642192735404061,0.8882740758182246
1,2,1,1.3554908166995399,0.4666704256515288,7,0.7650853018313366,0.8786046511627907
1,2,2,1.3560985375928603,0.46680982801245663,5,0.7677582661784448,0.8862331575864089
1,3,1,1.3314472901460173,0.460795816702923,5,0.7673603413554372,0.8843625264146513
1,3,2,1.33163849129967,0.45993034988362635,7,0.7628487048426682,0.8810552118594607
2,0,1,1.5500531168169367,0.4993065353747018,3,0.7751154398116347,0.8926285849727423
2,0,2,1.54933202207277,0.49830568742634007,6,0.7651090597371902,0.8940773141033219
2,1,1,1.1190281164376268,0.405342042617669,5,0.7675394235312882,0.8908079971607713
2,1,2,1.1188843238656803,0.40494347482508647,9,0.7547986741449201,0.885288247035341
2,2,1,0.9657969856656675,0.3713232667454821,9,0.7560384901970045,0.8909219690709479
2,2,2,0.9671645576210616,0.37210428182927635,9,0.7535484255177645,0.8862542551942716
2,3,1,0.9301524028329684,0.36390202221728113,8,0.7578719218282652,0.8913632614587016
2,3,2,0.9298794905594321,0.36326827140939366,3,0.7775291660369187,0.8820362785254535
3,0,1,1.262398268907939,0.42297620432318533,7,0.7631179711168169,0.8912197996464349
3,0,2,1.2629303542418464,0.42335663411000257,8,0.7595362138998568,0.8960747221565382
3,1,1,0.8909127643828789,0.34168106973262385,9,0.7542328906243706,0.8927180455564735
3,1,2,0.8904985624825756,0.3418536291491057,9,0.7578681099827428,0.8920676202860858
3,2,1,0.7595728996748525,0.31164350528695517,5,0.7667048537014207,0.8945122673936233
3,2,2,0.7602784878442468,0.3119230412192663,7,0.7600925506237126,0.896584440227704
3,3,1,0.7279221671294588,0.30375926390734226,8,0.759693726878528,0.8910867773460497
3,3,2,0.7273482410319225,0.30329859633473777,3,0.776693894051867,0.8915890055444143
