st,constant
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.01750512451919394,1.0
0.30141328555992764,1.0
0.8373709285828314,1.0
1.2040708630393036,1.0
1.2919217932063343,1.0
1.2076988305481515,1.0
0.8284950621003258,1.0
0.22407758332949343,1.0
-0.17912489127576148,1.0
-0.28297498272094,1.0
-0.22231066541269576,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720927,1.0
-5.752542117015851e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.0,1.0
0.01750512451919394,1.0
0.30141328555992764,1.0
0.8373709285828314,1.0
1.2040708630393036,1.0
1.2919217932063343,1.0
1.2076988305481515,1.0
0.8284950621003258,1.0
0.22407758332949343,1.0
-0.17912489127576148,1.0
-0.28297498272094,1.0
-0.22231066541269576,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720927,1.0
-5.752542117015851e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.01750512451919394,1.0
0.30141328555992764,1.0
0.8373709285828314,1.0
1.2040708630393036,1.0
1.2919217932063343,1.0
1.2076988305481515,1.0
0.8284950621003258,1.0
0.22407758332949343,1.0
-0.17912489127576148,1.0
-0.28297498272094,1.0
-0.22231066541269576,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720927,1.0
-5.752542117015851e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.01750512451919394,1.0
0.30141328555992764,1.0
0.8373709285828314,1.0
1.2040708630393036,1.0
1.2919217932063343,1.0
1.2076988305481515,1.0
0.8284950621003258,1.0
0.22407758332949343,1.0
-0.17912489127576148,1.0
-0.28297498272094,1.0
-0.22231066541269576,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720927,1.0
-5.752542117015851e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
