st,constant
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.01750512451919394,1.0
0.3014132855599277,1.0
0.8373709285828312,1.0
1.2040708630393044,1.0
1.2919217932063352,1.0
1.207698830548152,1.0
0.8284950621003259,1.0
0.2240775833294935,1.0
-0.17912489127576145,1.0
-0.28297498272094,1.0
-0.22231066541269578,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720922,1.0
-5.7525421170158505e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.01750512451919394,1.0
0.3014132855599277,1.0
0.8373709285828312,1.0
1.2040708630393044,1.0
1.2919217932063352,1.0
1.207698830548152,1.0
0.8284950621003259,1.0
0.2240775833294935,1.0
-0.17912489127576145,1.0
-0.28297498272094,1.0
-0.22231066541269578,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720922,1.0
-5.7525421170158505e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.01750512451919394,1.0
0.3014132855599277,1.0
0.8373709285828312,1.0
1.2040708630393044,1.0
1.2919217932063352,1.0
1.207698830548152,1.0
0.8284950621003259,1.0
0.2240775833294935,1.0
-0.17912489127576145,1.0
-0.28297498272094,1.0
-0.22231066541269578,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720922,1.0
-5.7525421170158505e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.0,1.0
0.01750512451919394,1.0
0.3014132855599277,1.0
0.8373709285828312,1.0
1.2040708630393044,1.0
1.2919217932063352,1.0
1.207698830548152,1.0
0.8284950621003259,1.0
0.2240775833294935,1.0
-0.17912489127576145,1.0
-0.28297498272094,1.0
-0.22231066541269578,1.0
-0.12905248308522432,1.0
-0.06121542526079787,1.0
-0.02488844634237288,1.0
-0.008935469906219108,1.0
-0.002893289654650336,1.0
-0.0008558645750294624,1.0
-0.00023308665152720922,1.0
-5.7525421170158505e-05,1.0
-1.1340579176289632e-05,1.0
0.0,1.0
0.0,1.0
0.0,1.0
